dateIDd,Weekday,Holiday,Duration,Volume
20170415,0,0,1038.814789687924,10318
20170416,0,0,766.5969144460028,3565
20170417,1,1,748.011767925561,7308
20170418,1,0,765.009148132606,11915
20170419,1,0,671.6441245396719,5974
20170420,1,0,721.2450779510023,11225
20170421,1,0,660.8386607880959,7258
20170422,0,0,738.5495505745819,8789
20170423,0,0,973.2419979905268,13934
20170424,1,0,724.3338936045046,11899
20170425,1,0,677.1450154271731,9399
20170426,1,0,722.9855435781733,11967
20170427,1,0,832.7116551469425,18953
20170428,1,0,821.5650393533291,18804
20170429,0,0,893.0407529025449,17054
20170430,0,0,651.1269115335143,6997
20170501,1,0,585.2321954090642,3398
20170502,1,0,744.2365470852018,15164
20170503,1,0,719.3328962894979,15254
20170504,1,0,787.5621301775147,18421
20170505,1,0,601.6425679583574,5187
20170506,0,0,840.9761070404587,12556
20170507,0,0,689.9857927411653,8376
20170508,1,0,656.0863781781445,11878
20170509,1,0,675.0389459968148,13814
20170510,1,0,710.6033879580187,16293
20170511,1,0,726.6148496017121,16822
20170512,1,0,807.4431834438034,20971
20170513,0,0,836.5715499215892,15304
20170514,0,0,676.3827448825388,7279
20170515,1,0,762.6927810130754,18202
20170516,1,0,845.9558335460812,23502
20170517,1,0,889.7835633626098,25504
20170518,1,0,831.6237439050244,23585
20170519,1,0,806.015873015873,22239
20170520,0,0,1005.7372049102927,21180
20170521,0,0,992.5823577906018,18195
20170522,1,1,667.9789071347678,7064
20170523,1,0,838.0061179832984,22393
20170524,1,0,825.8786525296376,23956
20170525,1,0,729.16312335958,15240
20170526,1,0,688.0285447895001,13943
20170527,0,0,990.9133755274262,23700
20170528,0,0,1094.2080598699254,33673
20170529,1,0,726.5745594418105,11179
20170530,1,0,709.9006660323502,15765
20170531,1,0,791.3141136374247,21419
20170601,1,0,776.8964365745419,22759
20170602,1,0,737.4238655833748,18093
20170603,0,0,851.6826309067688,17226
20170604,0,0,968.0308100289296,20740
20170605,1,0,678.5353284490252,8053
20170606,1,0,720.1014931680519,14198
20170607,1,0,854.4805454820188,26472
20170608,1,0,853.57674067687,27834
20170609,1,0,828.5842641509433,26500
20170610,0,0,941.4036576168929,26520
20170611,0,0,931.721111762848,22163
20170612,1,0,823.7172202611322,23513
20170613,1,0,824.4688689809631,26790
20170614,1,0,809.1023235031278,26856
20170615,1,0,818.7188308886972,27816
20170616,1,0,725.4702964157261,16126
20170617,0,0,929.2013444693421,24545
20170618,0,0,877.7611413169757,21519
20170619,1,0,781.9262534264745,22618
20170620,1,0,778.5710336657123,20258
20170621,1,0,782.3798712159224,23916
20170622,1,0,818.0104264336346,26663
20170623,1,0,753.5046528274875,13970
20170624,0,1,1020.1714793222809,21956
20170625,0,0,922.3721654458529,22799
20170626,1,0,855.1756739381991,23333
20170627,1,0,780.8914466050959,21547
20170628,1,0,783.2544826725465,24037
20170629,1,0,722.3511407273548,17708
20170630,1,0,761.9594155844156,17248
20170701,0,1,894.1395758472487,14193
20170702,0,0,982.0141708869581,21523
20170703,1,1,913.9833737185461,26825
20170704,1,0,865.3399613179057,29471
20170705,1,0,848.8873620862588,29910
20170706,1,0,831.221764767454,28661
20170707,1,0,803.4543125180808,24197
20170708,0,0,913.204184738573,20981
20170709,0,0,934.9822474780847,22701
20170710,1,0,792.5102166366393,22757
20170711,1,0,820.3861771711596,26449
20170712,1,0,783.0606330446045,24706
20170713,1,0,801.9570969039003,24870
20170714,1,0,759.2672114511563,18723
20170715,0,0,951.204466987767,23461
20170716,0,0,935.1091597481982,21922
20170717,1,0,803.5353801554882,22767
20170718,1,0,832.8382162483811,28569
20170719,1,0,815.4037589614416,25805
20170720,1,0,801.3152023876142,26805
20170721,1,0,814.52170313424,25365
20170722,0,0,972.8614635251473,26484
