Arrondissement,Code arrondissement,Latitude,Longitude
Ahuntsic-Cartierville,1,45.540857,-73.64417
Ahuntsic-Cartierville,1,45.539566,-73.644945
Ahuntsic-Cartierville,1,45.538394,-73.645671
Ahuntsic-Cartierville,1,45.538766,-73.648903
Ahuntsic-Cartierville,1,45.537107,-73.646482
Ahuntsic-Cartierville,1,45.537597,-73.649611
Ahuntsic-Cartierville,1,45.53873,-73.652553
Ahuntsic-Cartierville,1,45.539602,-73.652049
Ahuntsic-Cartierville,1,45.540954,-73.651254
Ahuntsic-Cartierville,1,45.542637,-73.650266
Ahuntsic-Cartierville,1,45.54185,-73.647029
Ahuntsic-Cartierville,1,45.547048,-73.648926
Ahuntsic-Cartierville,1,45.547251,-73.643936
Ahuntsic-Cartierville,1,45.548375,-73.646929
Ahuntsic-Cartierville,1,45.549832,-73.646079
Ahuntsic-Cartierville,1,45.551181,-73.645445
Ahuntsic-Cartierville,1,45.551072,-73.648958
Ahuntsic-Cartierville,1,45.549207,-73.650037
Ahuntsic-Cartierville,1,45.551932,-73.65172
Ahuntsic-Cartierville,1,45.552677,-73.65389
Ahuntsic-Cartierville,1,45.551299,-73.656517
Ahuntsic-Cartierville,1,45.554773,-73.657569
Ahuntsic-Cartierville,1,45.553009,-73.660357
Ahuntsic-Cartierville,1,45.551155,-73.660538
Ahuntsic-Cartierville,1,45.549453,-73.661033
Ahuntsic-Cartierville,1,45.548166,-73.66212
Ahuntsic-Cartierville,1,45.546703,-73.664389
Ahuntsic-Cartierville,1,45.545558,-73.662082
Ahuntsic-Cartierville,1,45.543866,-73.663883
Ahuntsic-Cartierville,1,45.542801,-73.665532
Ahuntsic-Cartierville,1,45.546943,-73.661481
Ahuntsic-Cartierville,1,45.541062,-73.667598
Ahuntsic-Cartierville,1,45.539582,-73.667261
Ahuntsic-Cartierville,1,45.536136,-73.667322
Ahuntsic-Cartierville,1,45.538084,-73.669463
Ahuntsic-Cartierville,1,45.537085,-73.670347
Ahuntsic-Cartierville,1,45.536821,-73.671639
Ahuntsic-Cartierville,1,45.535339,-73.673082
Ahuntsic-Cartierville,1,45.532851,-73.669644
Ahuntsic-Cartierville,1,45.527134,-73.700127
Ahuntsic-Cartierville,1,45.526618,-73.701056
Ahuntsic-Cartierville,1,45.526235,-73.702885
Ahuntsic-Cartierville,1,45.533998,-73.667372
Ahuntsic-Cartierville,1,45.524116,-73.733154
Ahuntsic-Cartierville,1,45.522757,-73.728461
Ahuntsic-Cartierville,1,45.525261,-73.726883
Ahuntsic-Cartierville,1,45.524905,-73.72548
Ahuntsic-Cartierville,1,45.527108,-73.725266
Ahuntsic-Cartierville,1,45.528847,-73.729187
Ahuntsic-Cartierville,1,45.531454,-73.723585
Ahuntsic-Cartierville,1,45.533423,-73.72326
Ahuntsic-Cartierville,1,45.531038,-73.719736
Ahuntsic-Cartierville,1,45.533913,-73.719196
Ahuntsic-Cartierville,1,45.536022,-73.717929
Ahuntsic-Cartierville,1,45.529835,-73.720381
Ahuntsic-Cartierville,1,45.528487,-73.720241
Ahuntsic-Cartierville,1,45.526799,-73.719318
Ahuntsic-Cartierville,1,45.527544,-73.717126
Ahuntsic-Cartierville,1,45.526811,-73.71029
Ahuntsic-Cartierville,1,45.525436,-73.708027
Ahuntsic-Cartierville,1,45.524878,-73.709435
Ahuntsic-Cartierville,1,45.523847,-73.709388
Ahuntsic-Cartierville,1,45.526158,-73.706385
Ahuntsic-Cartierville,1,45.527876,-73.709793
Ahuntsic-Cartierville,1,45.529721,-73.709415
Ahuntsic-Cartierville,1,45.530338,-73.706792
Ahuntsic-Cartierville,1,45.531901,-73.704814
Ahuntsic-Cartierville,1,45.533292,-73.708564
Ahuntsic-Cartierville,1,45.535372,-73.709909
