dateIDm,Duration,Volume
201704,796.321956671742,175359
201705,820.2363574299653,521456
201706,832.4552935562027,653776
201707,867.414583458278,767006
201708,837.2943521639116,747720
201709,785.5917389267007,646623
201710,723.4672121687047,493857
201711,623.731259495594,131640
201804,726.8353181854649,224366
201805,828.9998696089834,766924
201806,828.9998704509259,841380
201807,831.1913451604267,904026
201808,827.3165626188102,907435
201809,780.1740976364447,755599
201810,674.2922270595247,463068
201811,612.4271772483108,137203
201904,758.7654681820967,212129
201905,802.3616477434006,704600
201906,832.7482579393998,830195
201907,836.0559120641492,984081
201908,824.6495650611225,934844
201909,766.8521404670693,779713
201910,694.4603373860785,554439
202004,1023.9980931402364,60833
202005,1068.2255052649193,322702
202006,969.8400148446968,476938
202007,901.8142394228634,567214
202008,885.3897022814394,532953
202009,834.7748365188457,467638
202010,816.2699413222415,296194
202011,830.3196259001976,125528
